KdPosting,Tahun,KURincianSD,Kd_Rincian,RincianSD,Kd_SubRinci,Anggaran,AnggaranPAK,AnggaranStlhPAK,Belanja,Kd_Keg,SumberDana,Kd_Desa,TglPosting
"2","2019","12.2009.02.03.15.5.3.4.02.01PBH","5.3.4.02.","5.3.4.02.PBH","01",1.6000000000000000e+06,0.0000000000000000e+00,1.6000000000000000e+06,"BOP","12.2009.02.03.15.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.15.5.3.4.03.01PBH","5.3.4.03.","5.3.4.03.PBH","01",1.6000000000000000e+07,0.0000000000000000e+00,1.6000000000000000e+07,"BOP","12.2009.02.03.15.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.99.5.3.4.01.01PBP","5.3.4.01.","5.3.4.01.PBP","01",1.2305000000000000e+06,0.0000000000000000e+00,1.2305000000000000e+06,"BOP","12.2009.02.03.99.","PBP","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.99.5.3.4.02.01PBP","5.3.4.02.","5.3.4.02.PBP","01",7.0000000000000000e+06,0.0000000000000000e+00,7.0000000000000000e+06,"BOP","12.2009.02.03.99.","PBP","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.03.99.5.3.4.03.01PBP","5.3.4.03.","5.3.4.03.PBP","01",9.1257500000000000e+07,0.0000000000000000e+00,9.1257500000000000e+07,"BOP","12.2009.02.03.99.","PBP","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.06.03.5.2.5.05.01PBP","5.2.5.05.","5.2.5.05.PBP","01",2.4000000000000000e+06,0.0000000000000000e+00,2.4000000000000000e+06,"BOP","12.2009.02.06.03.","PBP","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.03.02.03.5.2.1.07.01PBH","5.2.1.07.","5.2.1.07.PBH","01",1.5000000000000000e+06,0.0000000000000000e+00,1.5000000000000000e+06,"BOP","12.2009.03.02.03.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.03.02.03.5.2.1.08.01PBH","5.2.1.08.","5.2.1.08.PBH","01",1.0000000000000000e+06,0.0000000000000000e+00,1.0000000000000000e+06,"BOP","12.2009.03.02.03.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.03.02.03.5.2.1.09.01PBH","5.2.1.09.","5.2.1.09.PBH","01",4.2500000000000000e+06,0.0000000000000000e+00,4.2500000000000000e+06,"BOP","12.2009.03.02.03.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.03.02.03.5.2.1.91.01PBH","5.2.1.91.","5.2.1.91.PBH","01",3.5000000000000000e+06,0.0000000000000000e+00,3.5000000000000000e+06,"BOP","12.2009.03.02.03.","PBH","12.2009.","12/31/18 00:00:00"
