Tahun,Kd_Desa,Kd_Keg,Kd_Rincian,Kd_SubRinci,No_Urut,SumberDana,Uraian,Satuan,JmlSatuan,HrgSatuan,Anggaran,JmlSatuanPAK,HrgSatuanPAK,AnggaranStlhPAK,AnggaranPAK,Kode_SBU
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","10","DDS","Map","buah",1.8000000000000000e+01,2.5000000000000000e+03,4.5000000000000000e+04,1.8000000000000000e+01,2.5000000000000000e+03,4.5000000000000000e+04,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","11","DDS","Ballpoint","pak",3.0000000000000000e+00,3.0500000000000000e+04,9.1500000000000000e+04,3.0000000000000000e+00,3.0500000000000000e+04,9.1500000000000000e+04,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","12","DDS","Flashdisk","unit",1.0000000000000000e+00,1.3500000000000000e+05,1.3500000000000000e+05,1.0000000000000000e+00,1.3500000000000000e+05,1.3500000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","13","DDS","Materai 6.000","buah",4.5000000000000000e+01,7.0000000000000000e+03,3.1500000000000000e+05,4.5000000000000000e+01,7.0000000000000000e+03,3.1500000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","14","DDS","Materai 3.000","buah",3.0000000000000000e+01,3.5000000000000000e+03,1.0500000000000000e+05,3.0000000000000000e+01,3.5000000000000000e+03,1.0500000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","15","DDS","Photocopy","lembar",9.0000000000000000e+02,2.5000000000000000e+02,2.2500000000000000e+05,9.0000000000000000e+02,2.5000000000000000e+02,2.2500000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.00.00.00.","4.2.2.01.","01","01","PBH","Bagi Hasil Pajak dan Restribusi Daerah","Tahun",1.0000000000000000e+00,4.7334710000000000e+08,4.7334710000000000e+08,1.0000000000000000e+00,4.7334710000000000e+08,4.7334710000000000e+08,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.02.04.","5.3.3.02.","01","01","PBH","Kendaraan Roda Empat (Ambulance Desa)","Unit",1.0000000000000000e+00,1.9988377000000000e+08,1.9988377000000000e+08,1.0000000000000000e+00,1.9988377000000000e+08,1.9988377000000000e+08,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.02.04.","5.3.3.01.","01","01","PBH","Honorarium Ketua Tim Pengadaan (1 Org)","OB",1.0000000000000000e+00,5.0000000000000000e+05,5.0000000000000000e+05,1.0000000000000000e+00,5.0000000000000000e+05,5.0000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.02.04.","5.3.3.01.","01","02","PBH","Honorarium Sekretaris Tim Pengadaan (1 Org)","Ob",1.0000000000000000e+00,4.0000000000000000e+05,4.0000000000000000e+05,1.0000000000000000e+00,4.0000000000000000e+05,4.0000000000000000e+05,0.0000000000000000e+00,
