KdPosting,KURincianSD,Tahun,Sifat,SumberDana,Kd_Desa,Kd_Keg,Kd_Rincian,Anggaran,AnggaranPAK,Jan,Peb,Mar,Apr,Mei,Jun,Jul,Agt,Sep,Okt,Nop,Des,KunciData
"2","12.2009.02.03.11.5.3.5.03.01DDSAWAL","2019","AWAL","DDS","12.2009.","12.2009.02.03.11.","5.3.5.03.",4.9204800000000000e+08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0183220000000000e+07,0.0000000000000000e+00,2.1794378000000000e+08,0.0000000000000000e+00,0.0000000000000000e+00,2.5392100000000000e+08,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.02.03.11.5.3.5.04.01DDSAWAL","2019","AWAL","DDS","12.2009.","12.2009.02.03.11.","5.3.5.04.",4.5700000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6600000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,2.9100000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.02.03.14.5.3.5.01.01DDSAWAL","2019","AWAL","DDS","12.2009.","12.2009.02.03.14.","5.3.5.01.",2.3200000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3200000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.02.03.14.5.3.5.02.01DDSAWAL","2019","AWAL","DDS","12.2009.","12.2009.02.03.14.","5.3.5.02.",1.3440000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3440000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.02.03.14.5.3.5.03.01DDSAWAL","2019","AWAL","DDS","12.2009.","12.2009.02.03.14.","5.3.5.03.",3.0290400000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0290400000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.02.03.14.5.3.5.04.01DDSAWAL","2019","AWAL","DDS","12.2009.","12.2009.02.03.14.","5.3.5.04.",2.0250000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0250000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.02.03.99.5.2.2.99.01PBPAWAL","2019","AWAL","PBP","12.2009.","12.2009.02.03.99.","5.2.2.99.",1.4923200000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.02.03.99.5.3.4.03.01PBPAWAL","2019","AWAL","PBP","12.2009.","12.2009.02.03.99.","5.3.4.03.",8.4564800000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.02.06.03.5.2.5.05.01PBPAWAL","2019","AWAL","PBP","12.2009.","12.2009.02.06.03.","5.2.5.05.",2.4000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.03.02.03.5.2.1.06.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.03.02.03.","5.2.1.06.",1.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
