KdPosting,Tahun,Kd_Desa,Kd_Keg,Kd_Rincian,Kd_SubRinci,No_Urut,Uraian,SumberDana,JmlSatuan,HrgSatuan,Satuan,Anggaran,JmlSatuanPAK,HrgSatuanPAK,AnggaranStlhPAK,AnggaranPAK
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","14","Papan Nama Kegiatan","DDS",1.0000000000000000e+00,2.5000000000000000e+05,"Paket",2.5000000000000000e+05,1.0000000000000000e+00,2.5000000000000000e+05,2.5000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","15","Dokumentasi Kegiatan","DDS",1.0000000000000000e+00,1.5000000000000000e+05,"paket",1.5000000000000000e+05,1.0000000000000000e+00,1.5000000000000000e+05,1.5000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.04.","01","03","Stamper","DDS",1.3000000000000000e+01,4.0000000000000000e+05,"hari",5.2000000000000000e+06,1.3000000000000000e+01,4.0000000000000000e+05,5.2000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","08","Kertas HVS","DDS",2.0000000000000000e+00,6.0000000000000000e+04,"rim",1.2000000000000000e+05,2.0000000000000000e+00,6.0000000000000000e+04,1.2000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","09","Tinta Printer","DDS",4.0000000000000000e+00,1.2000000000000000e+05,"botol",4.8000000000000000e+05,4.0000000000000000e+00,1.2000000000000000e+05,4.8000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","10","Map","DDS",1.8000000000000000e+01,2.5000000000000000e+03,"buah",4.5000000000000000e+04,1.8000000000000000e+01,2.5000000000000000e+03,4.5000000000000000e+04,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","11","Ballpoint","DDS",3.0000000000000000e+00,3.0500000000000000e+04,"pak",9.1500000000000000e+04,3.0000000000000000e+00,3.0500000000000000e+04,9.1500000000000000e+04,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","12","Flashdisk","DDS",1.0000000000000000e+00,1.3500000000000000e+05,"unit",1.3500000000000000e+05,1.0000000000000000e+00,1.3500000000000000e+05,1.3500000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","13","Materai 6.000","DDS",4.5000000000000000e+01,7.0000000000000000e+03,"buah",3.1500000000000000e+05,4.5000000000000000e+01,7.0000000000000000e+03,3.1500000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","14","Materai 3.000","DDS",3.0000000000000000e+01,3.5000000000000000e+03,"buah",1.0500000000000000e+05,3.0000000000000000e+01,3.5000000000000000e+03,1.0500000000000000e+05,0.0000000000000000e+00
