KdRek4,KdRek5,Nama_Rincian
"4.01.01.20.","4.01.01.20.022.","Bangunan Pasar/ Raiser Ikan Hias"
"4.01.01.20.","4.01.01.20.999.","Bangunan Industri Lainnya"
"4.01.01.21.","4.01.01.21.001.","Bangunan Untuk Kandang"
"4.01.01.21.","4.01.01.21.002.","Bangunan Kolam/Bak Ikan"
"4.01.01.21.","4.01.01.21.003.","Bangunan Pembesar Ikan"
"4.01.01.21.","4.01.01.21.999.","Bangunan Peternakan/Perikanan Lainnya"
"4.01.01.22.","4.01.01.22.001.","Bangunan Gedung Tempat Kerja Lainnya Permanen"
"4.01.01.22.","4.01.01.22.002.","Bangunan Gedung Tempat Kerja Lainnya Semi Permanen"
"4.01.01.22.","4.01.01.22.003.","Bangunan Gedung Tempat Kerja Lainnya Darurat"
"4.01.01.22.","4.01.01.22.004.","Gedung Pengujian Kendaraan Lainnya"
"4.01.01.22.","4.01.01.22.999.","Bangunan Lainnya"
"4.01.01.23.","4.01.01.23.001.","Bangunan Tempat Parkir"
"4.01.01.23.","4.01.01.23.002.","Bangunan Tempat Bermain Anak"
"4.01.01.23.","4.01.01.23.003.","Bangunan Penerangan Jalan"
"4.01.01.23.","4.01.01.23.004.","Bangunan Penerangan Taman"
"4.01.01.23.","4.01.01.23.999.","Bangunan Fasilitas Umum Lainnya"
"4.01.01.24.","4.01.01.24.001.","Bangunan Parkir Terbuka Permanen"
"4.01.01.24.","4.01.01.24.002.","Bangunan Parkir Terbuka Semi Permanen"
"4.01.01.24.","4.01.01.24.003.","Bangunan Parkir Terbuka Darurat"
"4.01.01.24.","4.01.01.24.004.","Bangunan Parkir Tertutup Permanen"
"4.01.01.24.","4.01.01.24.005.","Bangunan Parkir Tertutup Semi Permanen"
"4.01.01.24.","4.01.01.24.006.","Bangunan Parkir Tertutup Darurat"
"4.01.01.24.","4.01.01.24.999.","Bangunan Parkir Lainnya"
"4.01.01.25.","4.01.01.25.001.","Taman Permanen"
"4.01.01.25.","4.01.01.25.002.","Taman Semi Permanen"
"4.01.01.25.","4.01.01.25.999.","Taman Lainnya"
"4.01.01.99.","4.01.01.99.999.","Bangunan Gedung Tempat Kerja Lainnya"
"4.01.02.01.","4.01.02.01.001.","Hotel Permanen"
"4.01.02.01.","4.01.02.01.002.","Hotel Semi Permanen"
"4.01.02.01.","4.01.02.01.999.","Hotel Lainnya"
"4.01.02.02.","4.01.02.02.001.","Motel Permanen"
"4.01.02.02.","4.01.02.02.002.","Motel Semi Permanen"
"4.01.02.02.","4.01.02.02.999.","Motel Lainnya"
"4.01.02.03.","4.01.02.03.001.","Panti Asuhan"
"4.01.02.03.","4.01.02.03.999.","Panti Asuhan Lainnya"
"4.01.02.99.","4.01.02.99.999.","Bangunan Gedung Tempat Tinggal Lainnya"
"4.02.01.01.","4.02.01.01.001.","Candi"
"4.02.01.01.","4.02.01.01.999.","Candi Lainnya"
"4.02.01.02.","4.02.01.02.001.","Tugu Kemerdekaan"
"4.02.01.02.","4.02.01.02.002.","Tugu Pembangunan"
"4.02.01.02.","4.02.01.02.999.","Tugu Peringatan Lainnya"
"4.02.01.03.","4.02.01.03.001.","Istana Peninggalan"
"4.02.01.03.","4.02.01.03.002.","Rumah Adat"
"4.02.01.03.","4.02.01.03.003.","Rumah Peninggalan Sejarah"
"4.02.01.03.","4.02.01.03.004.","Makam Bersejarah"
"4.02.01.03.","4.02.01.03.999.","Bangunan Peninggalan Lainnya"
"4.02.01.99.","4.02.01.99.999.","Bangunan Peninggalan Lainnya"
"5.01.01.01.","5.01.01.01.001.","Jalan Desa"
"5.01.01.01.","5.01.01.01.999.","Jalan Desa Lainnya"
"5.01.01.02.","5.01.01.02.001.","Jalan Khusus Inspeksi"
"5.01.01.02.","5.01.01.02.002.","Jalan Khusus Kompleks"
"5.01.01.02.","5.01.01.02.003.","Jalan Khusus Proyek"
"5.01.01.02.","5.01.01.02.004.","Jalan Khusus Quarry"
"5.01.01.02.","5.01.01.02.005.","Jalan Khusus Lori"
"5.01.01.02.","5.01.01.02.006.","Jalan Khusus Badan Hukum"
"5.01.01.02.","5.01.01.02.007.","Jalan Khusus Perorangan"
"5.01.01.02.","5.01.01.02.008.","Jalan Khusus Lainnya"
"5.01.01.02.","5.01.01.02.009.","Jalan Khusus Pejalan Kaki (Trotoar)"
"5.01.01.02.","5.01.01.02.999.","Lainnya (Jalan Khusus)"
"5.01.01.99.","5.01.01.99.999.","Jalan Lainnya"
"5.01.02.01.","5.01.02.01.001.","Jembatan Pada Jalan Desa"
"5.01.02.01.","5.01.02.01.999.","Jembatan Pada Jalan Desa Lainnya"
"5.01.02.02.","5.01.02.02.001.","Jembatan Pada Jalan Khusus Inspeksi"
"5.01.02.02.","5.01.02.02.002.","Jembatan Pada Jalan Khusus Kompleks"
"5.01.02.02.","5.01.02.02.003.","Jembatan Pada Jalan Khusus Proyek"
"5.01.02.02.","5.01.02.02.004.","Jembatan Pada Jalan Khusus Quarry"
"5.01.02.02.","5.01.02.02.005.","Jembatan Pada Jalan Khusus Lori"
"5.01.02.02.","5.01.02.02.006.","Jembatan Pada Jalan Khusus Badan Hukum"
"5.01.02.02.","5.01.02.02.007.","Jembatan Pada Jalan Khusus Perorangan"
"5.01.02.02.","5.01.02.02.999.","Jembatan Pada Jalan Khusus Lainnya"
"5.01.02.03.","5.01.02.03.001.","Jembatan Penyeberangan Orang"
"5.01.02.03.","5.01.02.03.002.","Jembatan Penyeberangan Kendaraan"
"5.01.02.03.","5.01.02.03.005.","Jembatan Gantung"
"5.01.02.03.","5.01.02.03.999.","Jembatan Penyeberangan Lainnya"
"5.01.02.04.","5.01.02.04.001.","Dermaga"
"5.01.02.04.","5.01.02.04.002.","Kade"
"5.01.02.04.","5.01.02.04.003.","Embarkasi/Debarkasi"
"5.01.02.04.","5.01.02.04.004.","Jembatan Pantai"
"5.01.02.04.","5.01.02.04.999.","Jembatan Labuh/Sandar Pada Terminal Lainnya"
"5.01.02.05.","5.01.02.05.001.","Jembatan Timbang"
"5.01.02.05.","5.01.02.05.002.","Jembatan KIR/Pengujian"
"5.01.02.05.","5.01.02.05.999.","Jembatan Pengukur Lainnya"
"5.01.02.99.","5.01.02.99.999.","Jembatan Lainnya"
"5.02.01.01.","5.02.01.01.001.","Waduk Dengan Bendungan, Tanggul, Menara Pengambilan Pelimpah Ban"
"5.02.01.01.","5.02.01.01.002.","Waduk Dengan Bendungan, Tanggul Dan Menara Pengambilan"
"5.02.01.01.","5.02.01.01.003.","Waduk Dengan Menara Pengambilan"
"5.02.01.01.","5.02.01.01.004.","Waduk Dengan Tanggul, Dan Pintu Air/Menara Pengambilan"
"5.02.01.01.","5.02.01.01.005.","Waduk Dengan Tanggul Dan Pintu Pengukur Waduk Lapangan"
"5.02.01.01.","5.02.01.01.999.","Bangunan Waduk Irigasi Lainnya"
"5.02.01.02.","5.02.01.02.001.","Bendung"
"5.02.01.02.","5.02.01.02.002.","Bendung Dengan Pintu Bilas"
"5.02.01.02.","5.02.01.02.003.","Bendung Dengan Pompa"
"5.02.01.02.","5.02.01.02.004.","Bangunan Pengambilan Bebas"
"5.02.01.02.","5.02.01.02.005.","Bangunan Pengambilan Bebas Dgn Pompa (Bgnan Pengambilan Irigasi)"
"5.02.01.02.","5.02.01.02.006.","Sumur Dengan Pompa (Bangunan Pengambilan Irigasi)"
"5.02.01.02.","5.02.01.02.999.","Bangunan Pengambilan Irigasi Lainnya"
"5.02.01.03.","5.02.01.03.001.","Saluran Muka (Bangunan Pembawa Irigasi)"
"5.02.01.03.","5.02.01.03.002.","Saluran Induk (Bangunan Pembawa Irigasi)"
"5.02.01.03.","5.02.01.03.003.","Saluran Sekunder (Bangunan Pembawa Irigasi)"
"5.02.01.03.","5.02.01.03.004.","Saluran Tersier (Bangunan Pembawa Irigasi)"
"5.02.01.03.","5.02.01.03.005.","Saluran Kwarter"
"5.02.01.03.","5.02.01.03.006.","Saluran Pasang Tertutup/Terowongan"
"5.02.01.03.","5.02.01.03.007.","Saluran Suplesi"
"5.02.01.03.","5.02.01.03.999.","Bangunan Pembawa Irigasi Lainnya"
"5.02.01.04.","5.02.01.04.001.","Saluran Induk Pembuang (Bangunan Pembuang Irigasi)"
"5.02.01.04.","5.02.01.04.002.","Saluran Sekunder Pembuang (Bangunan Pembuang Irigasi)"
"5.02.01.04.","5.02.01.04.003.","Saluran Tersier Pembuang (Bangunan Pembuang Irigasi)"
"5.02.01.04.","5.02.01.04.999.","Bangunan Pembuang Irigasi Lainnya"
"5.02.01.05.","5.02.01.05.001.","Tanggul Banjir (Bangunan Pengaman Irigasi)"
"5.02.01.05.","5.02.01.05.002.","Bangunan Pintu Air/Klep (Bangunan Pengaman Irigasi)"
"5.02.01.05.","5.02.01.05.999.","Bangunan Pengaman Irigasi Lainnya"
"5.02.01.06.","5.02.01.06.001.","Bangunan Bagi"
"5.02.01.06.","5.02.01.06.002.","Bangunan Bagi Dan Sadap (Bangunan Pelengkap Irigasi)"
"5.02.01.06.","5.02.01.06.003.","Bangunan Sadap (Bangunan Pelengkap Irigasi)"
"5.02.01.06.","5.02.01.06.004.","Bangunan Got Miring"
"5.02.01.06.","5.02.01.06.005.","Bangunan Terjun (Bangunan Pelengkap Irigasi)"
"5.02.01.06.","5.02.01.06.006.","Bangunan Talang (Bangunan Pelengkap Irigasi)"
"5.02.01.06.","5.02.01.06.007.","Bangunan Syphon (Bangunan Pelengkap Irigasi)"
"5.02.01.06.","5.02.01.06.008.","Bangunan Gorong-Gorong (Bangunan Pelengkap Irigasi)"
"5.02.01.06.","5.02.01.06.009.","Bangunan Pelimpah Sampah"
"5.02.01.06.","5.02.01.06.010.","Bangunan Pengeluaran/Pintu"
"5.02.01.06.","5.02.01.06.011.","Bangunan Box Tersier (Bangunan Pelengkap Irigasi)"
"5.02.01.06.","5.02.01.06.012.","Bangunan Pengukur"
"5.02.01.06.","5.02.01.06.013.","Bangunan Mandi Hewan"
"5.02.01.06.","5.02.01.06.014.","Bangunan Pertemuan Saluran"
"5.02.01.06.","5.02.01.06.015.","Bangunan Pelengkap Dalam Petak Tersier"
"5.02.01.06.","5.02.01.06.016.","Bangunan Jembatan (Bangunan Pelengkap Irigasi)"
"5.02.01.06.","5.02.01.06.999.","Bangunan Pelengkap Irigasi Lainnya"
"5.02.01.07.","5.02.01.07.001.","Bangunan Sawah Irigasi Tehnis"
"5.02.01.07.","5.02.01.07.002.","Bangunan Sawah Irigasi Semi Tehnis"
"5.02.01.07.","5.02.01.07.003.","Bangunan Sawah Irigasi Non Tehnis"
"5.02.01.07.","5.02.01.07.999.","Bangunan Sawah Irigasi Lainnya"
"5.02.01.99.","5.02.01.99.999.","Bangunan Air Irigasi Lainnya"
"5.02.02.01.","5.02.02.01.001.","Waduk Pasang Surut"
"5.02.02.01.","5.02.02.01.999.","Bangunan Waduk Pasang Surut Lainnya"
"5.02.02.02.","5.02.02.02.001.","Bangunan Bendung Dengan Pompa"
"5.02.02.02.","5.02.02.02.002.","Bangunan Pengambilan Bebas Dgn Pompa (Bgnan Pengambilan Psg Surut"
"5.02.02.02.","5.02.02.02.999.","Bangunan Pengambilan Pasang Surut Lainnya"
"5.02.02.03.","5.02.02.03.001.","Saluran Muka (Bangunan Pembawa Pasang Surut)"
"5.02.02.03.","5.02.02.03.002.","Saluran Induk (Bangunan Pembawa Pasang Surut)"
"5.02.02.03.","5.02.02.03.003.","Saluran Sekunder (Bangunan Pembawa Pasang Surut)"
"5.02.02.03.","5.02.02.03.004.","Saluran Tersier (Bangunan Pembawa Pasang Surut)"
"5.02.02.03.","5.02.02.03.005.","Saluran Penyimpan Air"
"5.02.02.03.","5.02.02.03.006.","Saluran Lalu Lintas Air"
"5.02.02.03.","5.02.02.03.999.","Bangunan Pembawa Pasang Surut Lainnya"
"5.02.02.04.","5.02.02.04.001.","Saluran Induk Pembuang (Saluran Pembuang Pasang Surut)"
"5.02.02.04.","5.02.02.04.002.","Saluran Sekunder Pembuang (Saluran Pembuang Pasang Surut)"
"5.02.02.04.","5.02.02.04.003.","Saluran Tersier Pembuang (Saluran Pembuang Pasang Surut)"
"5.02.02.04.","5.02.02.04.004.","Saluran Pengumpul Air"
"5.02.02.04.","5.02.02.04.999.","Saluran Pembuang Pasang Surut Lainnya"
"5.02.02.05.","5.02.02.05.001.","Bangunan Pintu Air/Klep (Bangunan Pengaman Pasang Surut)"
"5.02.02.05.","5.02.02.05.002.","Bangunan Pemasukan/Pembuang"
"5.02.02.05.","5.02.02.05.003.","Kolam Pasang"
"5.02.02.05.","5.02.02.05.999.","Bangunan Pengaman Pasang Surut Lainnya"
"5.02.02.06.","5.02.02.06.001.","Bangunan Jembatan (Bangunan Pelengkap Pasang Surut)"
"5.02.02.06.","5.02.02.06.002.","Bangunan Jembatan Penghalang (Bangunan Pelengkap Pasang Surut)"
"5.02.02.06.","5.02.02.06.003.","Bangunan Penutup Penangkis Kotoran"
"5.02.02.06.","5.02.02.06.004.","Bangunan Pengukur Muka Air (Bangunan Pelengkap Pasang Surut)"
"5.02.02.06.","5.02.02.06.005.","Bangunan Pengukur Curah Hujan (Bangunan Pelengkap Pasang Surut)"
"5.02.02.06.","5.02.02.06.999.","Bangunan Pelengkap Pasang Surut Lainnya"
"5.02.02.07.","5.02.02.07.001.","Bangunan Sawah Pasang Surut Teknis"
"5.02.02.07.","5.02.02.07.002.","Bangunan Sawah Pasang Surut Semi Teknis"
"5.02.02.07.","5.02.02.07.003.","Bangunan Sawah Pasang Surut Non Teknis"
"5.02.02.07.","5.02.02.07.999.","Bangunan Sawah Pasang Surut Lainnya"
"5.02.02.99.","5.02.02.99.999.","Bangunan Pengairan Pasang Surut Lainnya"
"5.02.03.01.","5.02.03.01.001.","Bangunan Waduk"
"5.02.03.01.","5.02.03.01.999.","Bangunan Waduk Pengembangan Rawa Lainnya"
"5.02.03.02.","5.02.03.02.001.","Waduk Pengambilan Rawa"
"5.02.03.02.","5.02.03.02.999.","Bangunan Pengambilan Pengembangan Rawa Lainnya"
"5.02.03.03.","5.02.03.03.001.","Saluran Muka (Bangunan Pembawa Pengembangan Rawa)"
"5.02.03.03.","5.02.03.03.002.","Saluran Induk (Bangunan Pembawa Pengembangan Rawa)"
"5.02.03.03.","5.02.03.03.003.","Saluran Sekunder (Bangunan Pembawa Pengembangan Rawa)"
"5.02.03.03.","5.02.03.03.004.","Saluran Tersier (Bangunan Pembawa Pengembangan Rawa)"
"5.02.03.03.","5.02.03.03.999.","Bangunan Pembawa Pengembangan Rawa Lainnya"
"5.02.03.04.","5.02.03.04.001.","Saluran Induk Pembuang (Bangunan Pembuang Pengembangan Rawa)"
"5.02.03.04.","5.02.03.04.002.","Saluran Sekunder Pembuang (Bangunan Pembuang Pengembangan Rawa)"
"5.02.03.04.","5.02.03.04.003.","Saluran Tersier Pembuang (Bangunan Pembuang Pengembangan Rawa)"
"5.02.03.04.","5.02.03.04.999.","Bangunan Pembuang Pengembangan Rawa Lainnya"
"5.02.03.05.","5.02.03.05.001.","Tanggul Keliling"
"5.02.03.05.","5.02.03.05.002.","Bangunan Pintu Air/Klep (Bangunan Pengaman Pengembangan Rawa)"
"5.02.03.05.","5.02.03.05.999.","Bangunan Pengaman Pengembangan Rawa Lainnya"
"5.02.03.06.","5.02.03.06.001.","Bangunan Bagi Dan Sadap (Bangunan Pelengkap Pengembangan Rawa)"
"5.02.03.06.","5.02.03.06.002.","Bangunan Sadap (Bangunan Pelengkap Pengembangan Rawa)"
"5.02.03.06.","5.02.03.06.003.","Bangunan Terjun (Bangunan Pelengkap Pengembangan Rawa)"
"5.02.03.06.","5.02.03.06.004.","Bangunan Syphon (Bangunan Pelengkap Pengembangan Rawa)"
"5.02.03.06.","5.02.03.06.005.","Bangunan Gorong-Gorong (Bangunan Pelengkap Pengembangan Rawa)"
"5.02.03.06.","5.02.03.06.006.","Bangunan Jembatan (Bangunan Pelengkap Pengembangan Rawa)"
"5.02.03.06.","5.02.03.06.007.","Bangunan Jembatan Penghalang (Bgnan Pelengkap Pengembangan Rawa)"
"5.02.03.06.","5.02.03.06.008.","Bangunan Pengukur Muka Air (Bangunan Pelengkap Pengembangan Rawa)"
"5.02.03.06.","5.02.03.06.009.","Bangunan Pengukur Curah Hujan (Bgnan Pelengkap Pengembangan Rawa)"
"5.02.03.06.","5.02.03.06.010.","Bangunan Penutup Sungai"
"5.02.03.06.","5.02.03.06.011.","Bangunan Stasiun Pompa Pemasukan/Pembuang"
"5.02.03.06.","5.02.03.06.999.","Bangunan Pelengkap Pengembangan Rawa Lainnya"
"5.02.03.07.","5.02.03.07.001.","Bangunan Sawah Rawa Teknis"
"5.02.03.07.","5.02.03.07.002.","Bangunan Sawah Rawa Semi Teknis"
"5.02.03.07.","5.02.03.07.003.","Bangunan Sawah Rawa Non Teknis"
"5.02.03.07.","5.02.03.07.999.","Bangunan Sawah Pengembangan Rawa Lainnya"
"5.02.03.99.","5.02.03.99.999.","Bangunan Pengembangan Rawa Dan Polder Lainnya"
"5.02.04.01.","5.02.04.01.001.","Banguna Wasuk Pengaman Sungai/Pantai"
"5.02.04.01.","5.02.04.01.002.","Waduk Dengan Tanggul, Dan Pintu Pembuang (Bangunan Pengaman Sungai/Pantai &Penanggulangan Bencana Alam)"
"5.02.04.01.","5.02.04.01.999.","Bangunan Pengaman Sungai/Pantai & Penanggulangan Bencana Alam Lainnya"
"5.02.04.02.","5.02.04.02.001.","Bangunan Pengambilan Pengamanan Sungai"
"5.02.04.02.","5.02.04.02.002.","Bangunan Pengambilan Pengamanan Pantai"
"5.02.04.02.","5.02.04.02.999.","Bangunan Pengambilan Pengaman Sungai/Pantai Lainnya"
"5.02.04.03.","5.02.04.03.001.","Bangunan Pembawa Pengaman Sungai"
"5.02.04.03.","5.02.04.03.002.","Bangunan Pembawa Pengaman Pantai"
"5.02.04.03.","5.02.04.03.999.","Bangunan Pembawa Pengaman Sungai/Pantai Lainnya"
"5.02.04.04.","5.02.04.04.001.","Saluran Banjir"
"5.02.04.04.","5.02.04.04.002.","Saluran Drainage"
"5.02.04.04.","5.02.04.04.999.","Bangunan Pembuang Pengaman Sungai Lainnya"
"5.02.04.05.","5.02.04.05.001.","Tanggul Banjir (Bangunan Pengaman Pengamanan Sungai/pantai)"
"5.02.04.05.","5.02.04.05.002.","Pintu Pengatur Banjir"
"5.02.04.05.","5.02.04.05.003.","Coupure/Sodetan"
"5.02.04.05.","5.02.04.05.004.","Kantong Pasir/Lahar/Lumpur"
"5.02.04.05.","5.02.04.05.005.","Chekdam/Penahan Sedimen"
"5.02.04.05.","5.02.04.05.006.","Krib Pengaman Sungai/Pantai"
"5.02.04.05.","5.02.04.05.007.","Bangunan Penguat Tebing/Pantai"
"5.02.04.05.","5.02.04.05.008.","Bangunan Pelimpah Banjir"
"5.02.04.05.","5.02.04.05.009.","Dam Konsolidasi"
"5.02.04.05.","5.02.04.05.010.","Peralatan Saringan Sampah ( Pond Screen )"
"5.02.04.05.","5.02.04.05.011.","Klep Pengatur Banjir"
"5.02.04.05.","5.02.04.05.012.","Bangunan Pemecah Gelombang"
"5.02.04.05.","5.02.04.05.013.","Bangunan Pelantaran Pantai"
"5.02.04.05.","5.02.04.05.999.","Bangunan Pengaman Pengamanan Sungai/Pantai Lainnya"
"5.02.04.06.","5.02.04.06.001.","Bangunan Syphon (Bangunan Pelengkap Pengaman Sungai)"
"5.02.04.06.","5.02.04.06.002.","Bangunan Gorong-Gorong (Bangunan Pelengkap Pengaman Sungai)"
"5.02.04.06.","5.02.04.06.003.","Bangunan Jembatan (Bangunan Pelengkap Pengaman Sungai)"
"5.02.04.06.","5.02.04.06.004.","Bangunan Pengukur Muka Air (Bangunan Pelengkap Pengaman Sungai)"
"5.02.04.06.","5.02.04.06.005.","Bangunan Pengukur Curah Hujan (Bgnan Pelengkap Pengaman Sungai)"
"5.02.04.06.","5.02.04.06.006.","Stasiun Pos Penjaga/Pengamat"
"5.02.04.06.","5.02.04.06.007.","Bangunan Dermaga"
"5.02.04.06.","5.02.04.06.008.","Bangunan Stasiun Pompa Pembuang"
"5.02.04.06.","5.02.04.06.009.","Warning System"
"5.02.04.06.","5.02.04.06.999.","Bangunan Pelengkap Pengaman Sungai Lainnya"
"5.02.04.99.","5.02.04.99.999.","Bangunan Pengaman Sungai/pantai & Penanggulangan Bencana Alam Lainnya"
"5.02.05.01.","5.02.05.01.001.","Embung/Waduk Lapangan"
"5.02.05.01.","5.02.05.01.999.","Bangunan Waduk Pengembangan Sumber Air Lainnya"
"5.02.05.02.","5.02.05.02.001.","Sumur Dengan Pompa (Bangunan Pengambilan Pengembangan Sumber Air)"
"5.02.05.02.","5.02.05.02.002.","Sumur Artetis"
"5.02.05.02.","5.02.05.02.999.","Bangunan Pengambilan Pengembangan Sumber Air Lainnya"
"5.02.05.03.","5.02.05.03.001.","Saluran Tersier (Bangunan Pembawa Pengembangan Sumber Air)"
"5.02.05.03.","5.02.05.03.002.","Saluran Kuartier"
"5.02.05.03.","5.02.05.03.999.","Bangunan Pembawa Pengembangan Sumber Air Lainnya"
"5.02.05.04.","5.02.05.04.001.","Saluran Pembuang"
"5.02.05.04.","5.02.05.04.999.","Bangunan Pembuang Pengembangan Sumber Air Lainnya"
"5.02.05.05.","5.02.05.05.001.","Bak Penampung/Kolam/ Menara Penampungan"
"5.02.05.05.","5.02.05.05.002.","Bangunan Klimatologi"
"5.02.05.05.","5.02.05.05.003.","Bangunan Hidrometri"
"5.02.05.05.","5.02.05.05.004.","Sumur Pengamatan"
"5.02.05.05.","5.02.05.05.999.","Bangunan Pengaman Pengembangan Sumber Air Lainnya"
"5.02.05.06.","5.02.05.06.001.","Bangunan Terjun (Bangunan Pelengkap Pengembangan Sumber Air)"
"5.02.05.06.","5.02.05.06.002.","Bangunan Talang (Bangunan Pelengkap Pengembangan Sumber Air)"
"5.02.05.06.","5.02.05.06.003.","Bangunan Syphon (Bangunan Pelengkap Pengembangan Sumber Air)"
"5.02.05.06.","5.02.05.06.004.","Bangunan Gorong-Gorong (Bgnan Pelengkap Pengembangan Sumber Air)"
"5.02.05.06.","5.02.05.06.005.","Bangunan Box Tersier (Bangunan Pelengkap Pengembangan Sumber Air)"
"5.02.05.06.","5.02.05.06.006.","Bangunan Jembatan (Bangunan Pelengkap Pengembangan Sumber Air)"
"5.02.05.06.","5.02.05.06.999.","Bangunan Pelengkap Pengembangan Sumber Air Lainnya"
"5.02.05.07.","5.02.05.07.001.","Bangunan Sawah Irigasi Air Tanah Teknis"
"5.02.05.07.","5.02.05.07.002.","Bangunan Sawah Irigasi Air Tanah Semi Teknis"
"5.02.05.07.","5.02.05.07.003.","Bangunan Sawah Irigasi Air Tanah Non Teknis"
"5.02.05.07.","5.02.05.07.999.","Bangunan Sawah Irigasi Air Tanah Lainnya"
"5.02.05.99.","5.02.05.99.999.","Bangunan Pengembangan Sumber Air Dan Air Tanah Lainnya"
"5.02.06.01.","5.02.06.01.001.","Waduk Penyimpanan Air Baku"
"5.02.06.01.","5.02.06.01.002.","Waduk Penyimpanan Air Hujan"
"5.02.06.01.","5.02.06.01.003.","Bak Penyimpanan/Tower Air Baku"
"5.02.06.01.","5.02.06.01.999.","Bangunan Waduk Air Bersih/Air Baku Lainnya"
"5.02.06.02.","5.02.06.02.001.","Bangunan Pengambilan Dari Waduk"
"5.02.06.02.","5.02.06.02.002.","Bangunan Pengambilan Dari Sungai"
"5.02.06.02.","5.02.06.02.003.","Bangunan Pengambilan Dari Danau"
"5.02.06.02.","5.02.06.02.004.","Bangunan Pengambilan Dari Rawa"
"5.02.06.02.","5.02.06.02.005.","Bangunan Pengambilan Dari Air Laut"
"5.02.06.02.","5.02.06.02.006.","Bangunan Pengambilan Dari Sumber Air"
"5.02.06.02.","5.02.06.02.007.","Bangunan Pengambilan Dari Sumur Artetis"
"5.02.06.02.","5.02.06.02.999.","Bangunan Pengambilan Air Bersih/Air Baku Lainnya"
"5.02.06.03.","5.02.06.03.001.","Saluran Pembawa Air Baku Terbuka"
"5.02.06.03.","5.02.06.03.002.","Saluran Pembawa Air Baku Tertutup"
"5.02.06.03.","5.02.06.03.999.","Bangunan Pembawa Air Bersih/Air Baku Lainnya"
"5.02.06.04.","5.02.06.04.001.","Saluran Pembuang Air Cucian Air Baku"
"5.02.06.04.","5.02.06.04.002.","Saluran Pembuang Air Cucian Instalasi"
"5.02.06.04.","5.02.06.04.999.","Bangunan Pembuang Air Bersih/Air Baku Lainnya"
"5.02.06.05.","5.02.06.05.001.","Bangunan Talang (Bangunan Pelengkap Air Bersih/air Baku)"
"5.02.06.05.","5.02.06.05.002.","Bangunan Syphon (Bangunan Pelengkap Air Bersih/air Baku)"
"5.02.06.05.","5.02.06.05.003.","Bangunan Gorong-Gorong (Bangunan Pelengkap Air Bersih/air Baku)"
"5.02.06.05.","5.02.06.05.004.","Bangunan Jembatan (Bangunan Pelengkap Air Bersih/air Baku)"
"5.02.06.05.","5.02.06.05.005.","Bangunan Penampung Air Baku"
"5.02.06.05.","5.02.06.05.006.","Bangunan Hidran Umum"
"5.02.06.05.","5.02.06.05.007.","Bangunan Mandi Cuci Kakus (MCK)"
"5.02.06.05.","5.02.06.05.008.","Bangunan Menara/Bak Penampung/Reservoir Air Minum"
"5.02.06.05.","5.02.06.05.009.","Bangunan Buster Pump"
"5.02.06.05.","5.02.06.05.999.","Bangunan Pelengkap Air Bersih/Air Baku Lainnya"
"5.02.06.99.","5.02.06.99.999.","Bangunan Air Bersih/air Baku Lainnya"
"5.02.07.01.","5.02.07.01.001.","Saluran Pengumpul Air Hujan"
"5.02.07.01.","5.02.07.01.002.","Saluran Pengumpul Air Buangan Domestik"
"5.02.07.01.","5.02.07.01.003.","Saluran Pengumpul Air Buangan Industri"
"5.02.07.01.","5.02.07.01.004.","Saluran Pengumpul Air Buangan Pertanian"
"5.02.07.01.","5.02.07.01.999.","Bangunan Pembawa Air Kotor Lainnya"
"5.02.07.02.","5.02.07.02.001.","Waduk Air Hujan"
"5.02.07.02.","5.02.07.02.002.","Waduk Air Buangan Domestik"
"5.02.07.02.","5.02.07.02.003.","Waduk Air Buangan Industri"
"5.02.07.02.","5.02.07.02.004.","Waduk Air Buangan Pertanian"
"5.02.07.02.","5.02.07.02.999.","Bangunan Waduk Air Kotor Lainnya"
"5.02.07.03.","5.02.07.03.001.","Saluran Pembuang Air Buangan Air Hujan"
"5.02.07.03.","5.02.07.03.002.","Saluran Pembuang Air Buangan Domestik"
"5.02.07.03.","5.02.07.03.003.","Saluran Pembuang Air Buangan Air Industri"
"5.02.07.03.","5.02.07.03.004.","Saluran Pembuang Air Buangan Air Pertanian"
"5.02.07.03.","5.02.07.03.999.","Bangunan Pembuang Air Kotor Lainnya"
"5.02.07.04.","5.02.07.04.001.","Bangunan Pompa Air Hujan"
"5.02.07.04.","5.02.07.04.002.","Bangunan Pompa Air Buangan Domestik"
"5.02.07.04.","5.02.07.04.003.","Bangunan Pompa Air Buangan Industri"
"5.02.07.04.","5.02.07.04.004.","Bangunan Pompa Air Buangan Pertanian"
"5.02.07.04.","5.02.07.04.999.","Bangunan Pengaman Air Kotor Lainnya"
"5.02.07.05.","5.02.07.05.001.","Bangunan Talang (Bangunan Pelengkap Air Kotor)"
"5.02.07.05.","5.02.07.05.002.","Bangunan Syphon (Bangunan Pelengkap Air Kotor)"
"5.02.07.05.","5.02.07.05.003.","Bangunan Gorong-Gorong (Bangunan Pelengkap Air Kotor)"
"5.02.07.05.","5.02.07.05.004.","Bangunan Jembatan (Bangunan Pelengkap Air Kotor)"
"5.02.07.05.","5.02.07.05.005.","Bangunan Bak Kontrol/Man Hole"
"5.02.07.05.","5.02.07.05.006.","Saluran Air Kotor Sambungan Dari Rumah"
